
{Z-NL  +02 D   +02 DK  +02 S   +02
  2,   27,    5,     6.1,   0.06,   61.0, N,   -,    N,    0.23,  , 12.16, 12.22,           ,    122.6, t-, Steinkjer                                       , Asphaugen
  2,   28,    5,   262.0,   4.17,   61.2, D,   E,    N,    1.06,  , 13.28, 19.35,           ,    711.0, i-, Asphaugen                                       , Mosjoen
  2,   28,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 14.05, 14.45,
  2,   28,  ! 2,        ,       ,       ,  ,    ,     ,        , !, 16.37, 17.17,
  2,   28,  ! 3,        ,       ,       ,  ,    ,     ,        , !, 17.20, 17.27,
  2,   28,  ! 4,        ,       ,       ,  ,    ,     ,        , !, 18.52, 19.15,

  2,   29,    5,    89.0,   1.53,   47.3, D,   B,    N,    1.42,  , 21.17, 23.10,           , 167437.0, t-, Mosjoen                                         , Mo i Rana

  2,   30,    6,    20.0,   0.20,   60.0, N,   T,    N,        ,  , 10.40, 11.00, 1982-06-18,  25538.0, t-, Mo i Rana                                       , Storforshei
  2,   31,    6,    21.0,   0.20,   63.0, N,   -,    N,    1.09,  , 12.09, 12.29,           ,  98090.0, t-, Storforshei                                     , Storforshei
  2,   32,    6,   362.0,   5.40,   63.9, D,   -,    N,    0.16,  , 12.45, 20.15,           ,    211.5, t-, Storforshei                                     , Narvik
  2,   32,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 13.11, 13.14,
  2,   32,  ! 2,        ,       ,       ,  ,    ,     ,        , !, 13.25, 13.27,
  2,   32,  ! 3,        ,       ,       ,  ,    ,     ,        , !, 13.38, 13.39,
  2,   32,  ! 4,        ,       ,       ,  ,    ,     ,        , !, 14.28, 14.31,
  2,   32,  ! 5,        ,       ,       ,  ,    ,     ,        , !, 15.28, 15.33,
  2,   32,  ! 6,        ,       ,       ,  ,    ,     ,        , !, 15:45, 16.15,
  2,   32,  ! 7,        ,       ,       ,  ,    ,     ,        , !, 16.34, 16.35,
  2,   32,  ! 8,        ,       ,       ,  ,    ,     ,        , !, 16.40, 16.45,
  2,   32,  ! 9,        ,       ,       ,  ,    ,     ,        , !, 17.10, 17.17,
  2,   32,  !10,        ,       ,       ,  ,    ,     ,        , !, 18:00, 18.50,
  2,   32,  !11,        ,       ,       ,  ,    ,     ,        , !, 19.08, 19.11,

  2,   33,    7,    33.0,   0.29,   68.3, N,   -,    N,        ,  ,  9.54, 10.23, 1982-06-19,  35639.0, t-, Narvik                                          , Bjerkvik
  2,   34,    7,   319.0,   5.40,   56.3, N,   T,    N,    1.00,  , 11.23, 19.24,           ,  63145.0, t-, Bjerkvik                                        , Storslett
  2,   34,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 11.35, 11.37,
  2,   34,  ! 2,        ,       ,       ,  ,    ,     ,        , !, 13.24, 13.28,
  2,   34,  ! 3,        ,       ,       ,  ,    ,     ,        , !, 14.10, 14.21,
  2,   34,  ! 4,        ,       ,       ,  ,   !M,    ,        , !, 16.05, 16.35,
  2,   34,  ! 5,        ,       ,       ,  ,    ,     ,        , !, 17.32, 17.34,
  2,   34,  ! 6,        ,       ,       ,  ,   !C,    ,        , !, 17.48, 19.20,

  2,   35,    7,    10.0,   0.08,   75.0, N,   -,    N,    0.47,  , 20.11, 20.19,           ,  75777.0, t-, Storslett                                       , Sandnes

  2,   36,    #,   154.0,   2.05,   73.9, N,   -,    N,    2.11,  , 22.30,      ,           ,    337.0, t-, Oksfjordhamn                                    , Alta
{I W
  2,   36,    7,   111.0,   1.30,       , N,   -,     ,        , #,      ,      ,
  2,   36,    8,    43.0,   0.35,       , N,   -,     ,        , #,      ,  0.35, 1982-06-20

  2,   37,    8,    24.0,   0.21,   68.6, N,   -*,   N,        ,  , 11.55, 12.16,           ,    587.0, t-, Alta                                            , Leirbotnvatn
  2,   38,    8,   148.4,   1.58,   75.5, N,   Bus,  N,    0.17,  , 12.33, 14.31,           , 238531.4, i-, Leirbotnvatn                                    , Kåfjord
  2,   39,    8,    29.0,   0.42,   41.4, USA, E,    N,    2:08,  , 16.39, 17.21,           ,   8151.0, tF, Honningsvåg                                    , Nordkapp
{I F

  2,   40,    9,    30.0,   0.32,   56.3, N,   -,    N,        ,  ,  0.32,  3.10, 1982-06-21,  42358.0, t-, Nordkapp                                        , Honningsvåg
  2,   40,  ! 1,        ,       ,       , ^f,  !^^,   ,        , !,  1.04,  3.10,

  2,   41,    9,   175.0,   2.16,   77.2, N,   Bus,  N,    0:00,  ,  3.10,  5.26,           , 238760.1, iF, Kåfjord (Honningsvåg)                         , Alta
{I F
  2,   42,    9,   139.0,   1.50,   75.8, N,   V,    N,    4.44,  , 10.10, 13.40,           ,    640.0, t-, Alta                                            , Kautokeino
  2,   42,  ! 1,        ,       ,       ,  ,   !C,    ,        , !, 11.04, 11.18,
  2,   42,  ! 2,        ,       ,       ,  ,   !C,    ,        , !, 11.24, 11.34,
  2,   42,  ! 3,        ,       ,       ,  ,   !C,    ,        , !, 11.40, 12.56,

  2,   43,   10,     8.0,   0.10,   48.0, SF,  T,    SF,       ,  ,  8.25,  8.35, 1982-06-24, 465058.0, t-, Rovaniemi                                       , exit Valajaskoski
{I N Bus
  2,   44,   10,    99.0,   1.02,   95.8, SF,  -,    SF,   0.24,  ,  8.59, 10.01,           ,  34661.0, t-, exit Valajaskoski                               , jct Kemi-Tornio
