,trip,ride,short,long
611,168,2,https://goo.gl/maps/6rNu4k6hnAA2,"https://www.google.com/maps/dir/54.935493,23.870514/MOP+Gnilec,+Poland/@53.052368,16.3810205,7z/data=!4m25!4m24!1m16!3m4!1m2!1d22.9082308!2d54.046741!3s0x46e101cbe09c73e5:0x5b78e10c57d47bdb!3m4!1m2!1d15.0821766!2d52.3124473!3s0x4706531581439217:0xae90b760b359e916!3m4!1m2!1d15.0687129!2d52.3141328!3s0x47065339ae0aa5fb:0x3283e59f2080d4e0!4e1!1m5!1m1!1s0x4707a34051d2a709:0xd4b82a5187bd11ae!2m2!1d14.6509124!2d52.3257086!3e0?hl=en&shorturl=1"
614,168,5,https://goo.gl/maps/9jiTemAdFn12,"https://www.google.com/maps/dir/51.1872575,3.1061401/51.2210984,2.939343/@51.2049672,2.9829165,13z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
617,168,8,https://goo.gl/maps/8BL13AdZjJ92,"https://www.google.com/maps/dir/51.1834282,4.2895562/51.4333973,6.5447532/51.5402236,6.8851502/@51.3462507,5.0147964,9z/data=!4m10!4m9!1m0!1m5!3m4!1m2!1d6.5838395!2d51.4781929!3s0x47b8a2c7f82bed71:0x2d0f16cd2998e3a!1m0!3e0?shorturl=1"
620,168,11,https://goo.gl/maps/WZdzjrqdiMT2,"https://www.google.com/maps/dir/52.386747,16.4749293/51.9812182,20.5275193/@51.8044785,17.429714,8z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
622,168,13,https://goo.gl/maps/cJynZcP2qqM2,"https://www.google.com/maps/dir/52.1153041,20.6233874/52.1115729,20.4626503/@52.1265572,20.5079727,13z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
623,168,14,https://goo.gl/maps/ubR4CEcMfr52,"https://www.google.com/maps/dir/52.1092724,20.4597802/52.8235049,21.8866081/@52.3236493,20.5125693,9z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
625,168,16,https://goo.gl/maps/djLUbx8jtAP2,"https://www.google.com/maps/dir/53.649608,22.4662164/53.8469072,23.0010724/@53.7235656,22.6129542,11z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
626,168,17,https://goo.gl/maps/GqYdMZS5LAJ2,"https://www.google.com/maps/dir/53.8468849,22.9999539/''/@53.9145401,23.0772458,12z/data=!4m9!4m8!1m0!1m5!1m1!1s0x0:0x72d1963314a815b4!2m2!1d23.2946136!2d53.9822279!3e0?hl=en&shorturl=1"
627,168,18,https://goo.gl/maps/TYwd5j6QHVH2,"https://www.google.com/maps/dir/53.9802865,23.2928156/54.0378847,23.3570822/@54.0091211,23.2899727,13z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
628,168,19,https://goo.gl/maps/TQwbtHSQ94J2,"https://www.google.com/maps/dir/54.0378847,23.3570822/54.934143,23.9654976/@54.5560393,23.1717431,9z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
629,168,20,https://goo.gl/maps/j1trpFiGKaM2,"https://www.google.com/maps/dir/54.934143,23.9654976/54.7002228,25.2232318/@54.796773,24.2915206,10z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
633,169,4,https://goo.gl/maps/8NjEBjfgbw82,"https://www.google.com/maps/dir/51.18321,4.2879916/52.9142086,8.4244309/@52.0731506,5.1413809,8z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
634,169,5,https://goo.gl/maps/sKBUqCQTzT82,"https://www.google.com/maps/dir/52.9142086,8.4244309/53.2986922,9.5319303/@53.0861351,8.6690358,10z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
635,169,6,https://goo.gl/maps/G3bSkSsZ41J2,"https://www.google.com/maps/dir/53.2986922,9.5319303/53.4795271,10.0196403/@53.4194001,9.6701341,11z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
636,169,7,https://goo.gl/maps/xMTXe63vcv62,"https://www.google.com/maps/dir/53.4847246,10.0255931/53.1113491,9.9837225/@53.3633298,9.7814293,10z/data=!4m9!4m8!1m5!3m4!1m2!1d10.025216!2d53.484133!3s0x47b191fb8f644db7:0x2a07a0701ec54fa!1m0!3e0?hl=en&shorturl=1"
637,169,8,https://goo.gl/maps/PLH7KsTGpEQ2,"https://www.google.com/maps/dir/53.1113491,9.9837225/52.4218193,9.5579783/@52.8213001,9.0976647,9z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
